Rasse;Land;GebJahrUnten;GebJahrOben;Code;Selektionspfad
HO;ITA;1900;1981;27;DB
HO;LUX;1900;1984;27;DC
HO;LUX;1900;1981;27;DB
HO;NLD;1900;1984;27;DC
HO;NLD;1900;1981;27;DB
HO;NZL;1900;1984;27;DC
HO;NZL;1900;1981;27;DB
HO;SWE;1900;1984;27;DC
HO;SWE;1900;1981;27;DB
HO;UKR;1900;1984;27;DC
HO;UKR;1900;1981;27;DB
HO;USA;1900;1984;27;DC
HO;USA;1900;1981;27;DB
HO;CHE;1900;1984;27;DC
HO;CHE;1900;1981;27;DB
HO;840;1900;1986;28;SC
HO;840;1900;1983;28;SB
HO;AUS;1900;1986;28;SC
HO;AUS;1900;1983;28;SB
HO;AUT;1900;1986;28;SC
HO;AUT;1900;1983;28;SB
HO;BEL;1900;1986;28;SC
HO;BEL;1900;1983;28;SB
HO;CAN;1900;1986;28;SC
HO;CAN;1900;1983;28;SB
HO;DEU;1900;1986;28;SC
HO;DEU;1900;1983;28;SB
HO;DNK;1900;1986;28;SC
HO;DNK;1900;1983;28;SB
HO;FRA;1900;1986;28;SC
HO;FRA;1900;1983;28;SB
HO;GBR;1900;1986;28;SC
HO;GBR;1900;1983;28;SB
HO;IRL;1900;1986;28;SC
HO;IRL;1900;1983;28;SB
HO;ITA;1900;1986;28;SC
HO;ITA;1900;1983;28;SB
HO;LUX;1900;1986;28;SC
HO;LUX;1900;1983;28;SB
HO;NLD;1900;1986;28;SC
HO;NLD;1900;1983;28;SB
HO;NZL;1900;1986;28;SC
HO;NZL;1900;1983;28;SB
HO;SWE;1900;1986;28;SC
HO;SWE;1900;1983;28;SB
HO;UKR;1900;1986;28;SC
HO;UKR;1900;1983;28;SB
HO;USA;1900;1986;28;SC
HO;USA;1900;1983;28;SB
HO;CHE;1900;1986;28;SC
HO;CHE;1900;1983;28;SB
HO;840;1985;1991;29;DC
HO;840;1982;1988;29;DB
HO;AUS;1985;1991;29;DC
HO;AUS;1982;1988;29;DB
HO;AUT;1985;1991;29;DC
HO;AUT;1982;1988;29;DB
HO;BEL;1985;1991;29;DC
HO;BEL;1982;1988;29;DB
HO;CAN;1985;1991;29;DC
HO;CAN;1982;1988;29;DB
HO;DEU;1985;1991;29;DC
HO;DEU;1982;1988;29;DB
HO;DNK;1985;1991;29;DC
HO;DNK;1982;1988;29;DB
HO;FRA;1985;1991;29;DC
HO;FRA;1982;1988;29;DB
HO;GBR;1985;1991;29;DC
HO;GBR;1982;1988;29;DB
HO;IRL;1985;1991;29;DC
HO;IRL;1982;1988;29;DB
HO;ITA;1985;1991;29;DC
HO;ITA;1982;1988;29;DB
HO;LUX;1985;1991;29;DC
HO;LUX;1982;1988;29;DB
HO;NLD;1985;1991;29;DC
HO;NLD;1982;1988;29;DB
HO;NZL;1985;1991;29;DC
HO;NZL;1982;1988;29;DB
HO;SWE;1985;1991;29;DC
HO;SWE;1982;1988;29;DB
HO;UKR;1985;1991;29;DC
HO;UKR;1982;1988;29;DB
HO;USA;1985;1991;29;DC
HO;USA;1982;1988;29;DB
HO;CHE;1985;1991;29;DC
HO;CHE;1982;1988;29;DB
HO;840;1987;1993;30;SC
HO;840;1984;1990;30;SB
HO;AUS;1987;1993;30;SC
HO;AUS;1984;1990;30;SB
HO;AUT;1987;1993;30;SC
HO;AUT;1984;1990;30;SB
HO;BEL;1987;1993;30;SC
HO;BEL;1984;1990;30;SB
HO;CAN;1987;1993;30;SC
HO;CAN;1984;1990;30;SB
HO;DEU;1987;1993;30;SC
HO;DEU;1984;1990;30;SB
HO;DNK;1987;1993;30;SC
HO;DNK;1984;1990;30;SB
HO;FRA;1987;1993;30;SC
HO;FRA;1984;1990;30;SB
HO;GBR;1987;1993;30;SC
HO;GBR;1984;1990;30;SB
HO;IRL;1987;1993;30;SC
HO;IRL;1984;1990;30;SB
HO;ITA;1987;1993;30;SC
HO;ITA;1984;1990;30;SB
HO;LUX;1987;1993;30;SC
HO;LUX;1984;1990;30;SB
HO;NLD;1987;1993;30;SC
HO;NLD;1984;1990;30;SB
HO;NZL;1987;1993;30;SC
HO;NZL;1984;1990;30;SB
HO;SWE;1987;1993;30;SC
HO;SWE;1984;1990;30;SB
HO;UKR;1987;1993;30;SC
HO;UKR;1984;1990;30;SB
HO;USA;1987;1993;30;SC
HO;USA;1984;1990;30;SB
HO;CHE;1987;1993;30;SC
HO;CHE;1984;1990;30;SB
HO;840;1992;1996;31;DC
HO;840;1989;1993;31;DB
HO;AUS;1992;1996;31;DC
HO;AUS;1989;1993;31;DB
HO;AUT;1992;1996;31;DC
HO;AUT;1989;1993;31;DB
HO;BEL;1992;1996;31;DC
HO;BEL;1989;1993;31;DB
HO;CAN;1992;1996;31;DC
HO;CAN;1989;1993;31;DB
HO;DEU;1992;1996;31;DC
HO;DEU;1989;1993;31;DB
HO;DNK;1992;1996;31;DC
HO;DNK;1989;1993;31;DB
HO;FRA;1992;1996;31;DC
HO;FRA;1989;1993;31;DB
HO;GBR;1992;1996;31;DC
HO;GBR;1989;1993;31;DB
HO;IRL;1992;1996;31;DC
HO;IRL;1989;1993;31;DB
HO;ITA;1992;1996;31;DC
HO;ITA;1989;1993;31;DB
HO;LUX;1992;1996;31;DC
HO;LUX;1989;1993;31;DB
HO;NLD;1992;1996;31;DC
HO;NLD;1989;1993;31;DB
HO;NZL;1992;1996;31;DC
HO;NZL;1989;1993;31;DB
HO;SWE;1992;1996;31;DC
HO;SWE;1989;1993;31;DB
HO;UKR;1992;1996;31;DC
HO;UKR;1989;1993;31;DB
HO;USA;1992;1996;31;DC
HO;USA;1989;1993;31;DB
HO;CHE;1992;1996;31;DC
HO;CHE;1989;1993;31;DB
HO;840;1994;1998;32;SC
HO;840;1991;1995;32;SB
HO;AUS;1994;1998;32;SC
HO;AUS;1991;1995;32;SB
HO;AUT;1994;1998;32;SC
HO;AUT;1991;1995;32;SB
HO;BEL;1994;1998;32;SC
HO;BEL;1991;1995;32;SB
HO;CAN;1994;1998;32;SC
HO;CAN;1991;1995;32;SB
HO;DEU;1994;1998;32;SC
HO;DEU;1991;1995;32;SB
HO;DNK;1994;1998;32;SC
HO;DNK;1991;1995;32;SB
HO;FRA;1994;1998;32;SC
HO;FRA;1991;1995;32;SB
HO;GBR;1994;1998;32;SC
HO;GBR;1991;1995;32;SB
HO;IRL;1994;1998;32;SC
HO;IRL;1991;1995;32;SB
HO;ITA;1994;1998;32;SC
HO;ITA;1991;1995;32;SB
HO;LUX;1994;1998;32;SC
HO;LUX;1991;1995;32;SB
HO;NLD;1994;1998;32;SC
HO;NLD;1991;1995;32;SB
HO;NZL;1994;1998;32;SC
HO;NZL;1991;1995;32;SB
HO;SWE;1994;1998;32;SC
HO;SWE;1991;1995;32;SB
HO;UKR;1994;1998;32;SC
HO;UKR;1991;1995;32;SB
HO;USA;1994;1998;32;SC
HO;USA;1991;1995;32;SB
HO;CHE;1994;1998;32;SC
HO;CHE;1991;1995;32;SB
HO;840;1997;2001;33;DC
HO;840;1994;1998;33;DB
HO;AUS;1997;2001;33;DC
HO;AUS;1994;1998;33;DB
HO;AUT;1997;2001;33;DC
HO;AUT;1994;1998;33;DB
HO;BEL;1997;2001;33;DC
HO;BEL;1994;1998;33;DB
HO;CAN;1997;2001;33;DC
HO;CAN;1994;1998;33;DB
HO;DEU;1997;2001;33;DC
HO;DEU;1994;1998;33;DB
HO;DNK;1997;2001;33;DC
HO;DNK;1994;1998;33;DB
HO;FRA;1997;2001;33;DC
HO;FRA;1994;1998;33;DB
HO;GBR;1997;2001;33;DC
HO;GBR;1994;1998;33;DB
HO;IRL;1997;2001;33;DC
HO;IRL;1994;1998;33;DB
HO;ITA;1997;2001;33;DC
HO;ITA;1994;1998;33;DB
HO;LUX;1997;2001;33;DC
HO;LUX;1994;1998;33;DB
HO;NLD;1997;2001;33;DC
HO;NLD;1994;1998;33;DB
HO;NZL;1997;2001;33;DC
HO;NZL;1994;1998;33;DB
HO;SWE;1997;2001;33;DC
HO;SWE;1994;1998;33;DB
HO;UKR;1997;2001;33;DC
HO;UKR;1994;1998;33;DB
HO;USA;1997;2001;33;DC
HO;USA;1994;1998;33;DB
HO;CHE;1997;2001;33;DC
HO;CHE;1994;1998;33;DB
HO;840;1999;2003;34;SC
HO;840;1996;2000;34;SB
HO;AUS;1999;2003;34;SC
HO;AUS;1996;2000;34;SB
HO;AUT;1999;2003;34;SC
HO;AUT;1996;2000;34;SB
HO;BEL;1999;2003;34;SC
HO;BEL;1996;2000;34;SB
HO;CAN;1999;2003;34;SC
HO;CAN;1996;2000;34;SB
HO;DEU;1999;2003;34;SC
HO;DEU;1996;2000;34;SB
HO;DNK;1999;2003;34;SC
HO;DNK;1996;2000;34;SB
HO;FRA;1999;2003;34;SC
HO;FRA;1996;2000;34;SB
HO;GBR;1999;2003;34;SC
HO;GBR;1996;2000;34;SB
HO;IRL;1999;2003;34;SC
HO;IRL;1996;2000;34;SB
HO;ITA;1999;2003;34;SC
HO;ITA;1996;2000;34;SB
HO;LUX;1999;2003;34;SC
HO;LUX;1996;2000;34;SB
HO;NLD;1999;2003;34;SC
HO;NLD;1996;2000;34;SB
HO;NZL;1999;2003;34;SC
HO;NZL;1996;2000;34;SB
HO;SWE;1999;2003;34;SC
HO;SWE;1996;2000;34;SB
HO;UKR;1999;2003;34;SC
HO;UKR;1996;2000;34;SB
HO;USA;1999;2003;34;SC
HO;USA;1996;2000;34;SB
HO;CHE;1999;2003;34;SC
HO;CHE;1996;2000;34;SB
HO;840;2002;2006;35;DC
HO;840;1999;2003;35;DB
HO;AUS;2002;2006;35;DC
HO;AUS;1999;2003;35;DB
HO;AUT;2002;2006;35;DC
HO;AUT;1999;2003;35;DB
HO;BEL;2002;2006;35;DC
HO;BEL;1999;2003;35;DB
HO;CAN;2002;2006;35;DC
HO;CAN;1999;2003;35;DB
HO;DEU;2002;2006;35;DC
HO;DEU;1999;2003;35;DB
HO;DNK;2002;2006;35;DC
HO;DNK;1999;2003;35;DB
HO;FRA;2002;2006;35;DC
HO;FRA;1999;2003;35;DB
HO;GBR;2002;2006;35;DC
HO;GBR;1999;2003;35;DB
HO;IRL;2002;2006;35;DC
HO;IRL;1999;2003;35;DB
HO;ITA;2002;2006;35;DC
HO;ITA;1999;2003;35;DB
HO;LUX;2002;2006;35;DC
HO;LUX;1999;2003;35;DB
HO;NLD;2002;2006;35;DC
HO;NLD;1999;2003;35;DB
HO;NZL;2002;2006;35;DC
HO;NZL;1999;2003;35;DB
HO;SWE;2002;2006;35;DC
HO;SWE;1999;2003;35;DB
HO;UKR;2002;2006;35;DC
HO;UKR;1999;2003;35;DB
HO;USA;2002;2006;35;DC
HO;USA;1999;2003;35;DB
HO;CHE;2002;2006;35;DC
HO;CHE;1999;2003;35;DB
HO;840;2004;2008;36;SC
HO;840;2001;2005;36;SB
HO;AUS;2004;2008;36;SC
HO;AUS;2001;2005;36;SB
HO;AUT;2004;2008;36;SC
HO;AUT;2001;2005;36;SB
HO;BEL;2004;2008;36;SC
HO;BEL;2001;2005;36;SB
HO;CAN;2004;2008;36;SC
HO;CAN;2001;2005;36;SB
HO;DEU;2004;2008;36;SC
HO;DEU;2001;2005;36;SB
HO;DNK;2004;2008;36;SC
HO;DNK;2001;2005;36;SB
